;group;user;task_id;puzzle_difficulty;puzzle_category;n_attempts;completed;timestamp;active_time;percentileActiveTime;n_events;percentileEvents;n_check_solution;percentileAtt;percentileComposite;persistence;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Pi Henge;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-09 14:07:18.251127-04:00;86.13;46.1;26.0;7.14;2.0;84.42;26.62;NO_BEHAVIOR;0.0;0.0;0.0;12.0;NA;36.77
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-09-09 14:08:43.200091-04:00;140.23;62.77;54.0;54.01;1.0;64.23;58.39;NO_BEHAVIOR;0.0;0.0;1.0;23.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-09 14:11:24.282455-04:00;257.33;70.08;59.0;32.28;5.0;81.1;51.18;NO_BEHAVIOR;4.0;1.0;3.0;26.0;NA;150.59
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Boxes Obscure Spheres;0.266198;Intermediate;2.0;1.0;2019-09-10 13:49:05.064654-04:00;2824.85;100.0;920.0;99.03;26.0;99.03;99.51;PRODUCTIVE_PERSISTANCE;50.0;32.0;216.0;333.0;NA;484.31
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Object Limits;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Object Limits;0.257177;Intermediate;1.0;1.0;2019-09-10 13:50:46.458788-04:00;433.57;93.94;107.0;72.73;7.0;79.8;83.33;PRODUCTIVE_PERSISTANCE;7.0;6.0;13.0;45.0;NA;274.48
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Tetromino;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Tetromino;0.226869;Advanced;2.0;1.0;2019-11-21 18:39:38.551128-05:00;689.06;100.0;261.0;100.0;1.0;100.0;100.0;PRODUCTIVE_PERSISTANCE;6.0;0.0;48.0;101.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~1. One Box;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:31:12.573727-04:00;119.01;89.59;27.0;75.46;1.0;100.0;82.53;PRODUCTIVE_PERSISTANCE;1.0;0.0;0.0;21.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:32:21.342790-04:00;70.14;49.8;30.0;57.37;1.0;31.47;53.59;NO_BEHAVIOR;0.0;0.0;0.0;13.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:33:34.292740-04:00;172.32;84.62;48.0;76.92;2.0;73.28;80.77;PRODUCTIVE_PERSISTANCE;1.0;0.0;2.0;22.0;NA;77.82
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:36:29.209389-04:00;311.98;85.83;72.0;76.25;8.0;95.83;81.04;PRODUCTIVE_PERSISTANCE;4.0;0.0;18.0;26.0;NA;170.09
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-09-09 13:41:35.257734-04:00;326.59;81.53;91.0;70.72;5.0;87.84;76.13;PRODUCTIVE_PERSISTANCE;2.0;0.0;11.0;14.0;NA;211.35
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:46:59.212004-04:00;515.39;98.17;102.0;84.86;11.0;97.71;91.51;PRODUCTIVE_PERSISTANCE;5.0;0.0;19.0;44.0;NA;257.83
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-09-09 13:55:55.660453-04:00;78.27;64.9;20.0;42.79;1.0;61.54;53.85;NO_BEHAVIOR;1.0;0.0;3.0;7.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:56:52.954634-04:00;590.22;99.48;211.0;95.81;1.0;72.77;97.64;PRODUCTIVE_PERSISTANCE;2.0;0.0;36.0;79.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-10 13:32:59.114497-04:00;610.32;98.86;205.0;94.32;11.0;98.86;96.59;PRODUCTIVE_PERSISTANCE;7.0;0.0;5.0;91.0;NA;166.13
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-10 13:36:43.981208-04:00;141.0;41.06;55.0;39.07;1.0;33.77;40.07;NO_BEHAVIOR;2.0;0.0;13.0;17.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~Bird Fez;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-10 13:46:53.962761-04:00;533.63;93.51;157.0;84.42;10.0;95.45;88.96;PRODUCTIVE_PERSISTANCE;6.0;0.0;20.0;39.0;NA;434.11
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~Pi Henge;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-10 13:58:36.329829-04:00;140.26;67.53;58.0;62.99;2.0;84.42;65.26;NO_BEHAVIOR;3.0;0.0;20.0;16.0;NA;117.84
cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;3c32dab9a9041d872c3d1dc527a8caee;45-Degree Rotations;0.096715;Intermediate;1.0;0.0;2019-09-11 13:09:44.085356-04:00;122.18;56.2;37.0;33.58;0.0;0.0;44.89;NO_BEHAVIOR;4.0;0.0;3.0;9.0;0;0
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~1. One Box;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:30:56.093563-04:00;73.79;73.23;31.0;81.78;1.0;100.0;77.51;PRODUCTIVE_PERSISTANCE;0.0;0.0;2.0;11.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:32:18.481205-04:00;84.43;60.56;24.0;45.02;2.0;61.35;52.79;NO_BEHAVIOR;1.0;0.0;0.0;9.0;NA;15.64
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:33:11.015125-04:00;90.59;65.99;30.0;63.56;2.0;73.28;64.78;NO_BEHAVIOR;1.0;0.0;1.0;7.0;NA;34.72
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:34:30.379365-04:00;58.08;40.83;17.0;40.83;1.0;59.17;40.83;NO_BEHAVIOR;0.0;0.0;0.0;7.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-09-09 13:35:50.001003-04:00;70.96;35.14;11.0;6.76;1.0;50.9;20.95;RAPID_SOLVER;1.0;0.0;1.0;2.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:36:40.096385-04:00;116.76;54.59;47.0;49.08;1.0;33.49;51.83;NO_BEHAVIOR;0.0;0.0;1.0;28.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-09-09 13:38:36.062856-04:00;116.16;72.12;43.0;68.75;2.0;82.69;70.43;NO_BEHAVIOR;0.0;0.0;11.0;17.0;NA;53.17
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:40:39.902411-04:00;220.43;85.34;80.0;79.06;3.0;96.34;82.2;PRODUCTIVE_PERSISTANCE;0.0;0.0;23.0;28.0;NA;92.34
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-09 13:44:14.243330-04:00;195.37;71.59;69.0;62.5;1.0;43.75;67.05;NO_BEHAVIOR;0.0;0.0;26.0;23.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-09 13:47:36.173151-04:00;128.84;37.75;43.0;31.13;2.0;54.97;34.44;NO_BEHAVIOR;0.0;0.0;4.0;20.0;NA;55.44
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~Bird Fez;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-09 13:58:27.075073-04:00;614.28;94.81;244.0;92.21;2.0;59.74;93.51;PRODUCTIVE_PERSISTANCE;0.0;0.0;57.0;62.0;NA;37.18
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~Pi Henge;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-09 13:59:52.534909-04:00;128.19;62.34;44.0;50.0;1.0;64.29;56.17;NO_BEHAVIOR;0.0;0.0;6.0;18.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-09-09 14:02:01.623060-04:00;244.72;81.02;98.0;76.64;3.0;89.78;78.83;PRODUCTIVE_PERSISTANCE;0.0;0.0;13.0;43.0;NA;146.91
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-09 14:06:18.237268-04:00;639.5;92.91;233.0;87.4;15.0;99.21;90.16;PRODUCTIVE_PERSISTANCE;3.0;0.0;27.0;109.0;NA;287.46
cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;a7cd72c73f26587b48a0800d7e3d1fa6;Boxes Obscure Spheres;0.266198;Intermediate;1.0;0.0;2019-09-11 13:05:23.107386-04:00;120.77;18.45;49.0;16.5;1.0;16.5;17.48;NO_BEHAVIOR;4.0;0.0;9.0;10.0;0;0
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;45-Degree Rotations;0.096715;Intermediate;2.0;1.0;2019-09-11 13:10:18.809905-04:00;583.46;94.89;272.0;93.43;4.0;92.7;94.16;PRODUCTIVE_PERSISTANCE;6.0;1.0;35.0;76.0;NA;263.16
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~1. One Box;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:32:10.197482-04:00;37.96;47.58;10.0;41.64;1.0;100.0;44.61;NO_BEHAVIOR;0.0;0.0;0.0;1.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:32:44.976626-04:00;86.29;62.15;22.0;43.03;2.0;61.35;52.59;NO_BEHAVIOR;0.0;0.0;0.0;3.0;NA;38.18
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:34:10.404176-04:00;45.05;34.82;17.0;39.68;1.0;43.72;37.25;NO_BEHAVIOR;0.0;0.0;0.0;6.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:34:56.624159-04:00;147.35;72.08;33.0;61.67;2.0;78.75;66.88;NO_BEHAVIOR;3.0;0.0;6.0;7.0;NA;68.39
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;5. Removing Objects;0.106021;Tutorial;2.0;1.0;2019-09-09 13:50:30.163637-04:00;830.21;98.65;170.0;88.29;9.0;95.5;93.47;PRODUCTIVE_PERSISTANCE;12.0;0.0;1.0;67.0;NA;314.57
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:52:18.894347-04:00;228.82;82.57;61.0;61.93;4.0;86.24;72.25;NO_BEHAVIOR;4.0;0.0;8.0;22.0;NA;112.07
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-09-09 13:56:13.721455-04:00;72.86;62.98;26.0;54.33;2.0;82.69;58.65;NO_BEHAVIOR;0.0;0.0;0.0;11.0;NA;31.05
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:57:51.224240-04:00;178.86;80.1;61.0;73.3;1.0;72.77;76.7;PRODUCTIVE_PERSISTANCE;1.0;0.0;0.0;31.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-09 14:00:25.957147-04:00;341.82;86.93;131.0;84.66;4.0;87.5;85.8;PRODUCTIVE_PERSISTANCE;0.0;0.0;2.0;58.0;NA;188.04
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-10 13:43:12.672406-04:00;573.09;91.39;195.0;86.75;8.0;92.05;89.07;PRODUCTIVE_PERSISTANCE;6.0;0.0;0.0;80.0;NA;299.87
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Bird Fez;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-10 13:29:24.484675-04:00;290.16;77.27;115.0;72.73;3.0;69.48;75.0;NO_BEHAVIOR;6.0;0.0;1.0;46.0;NA;241.72
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Pi Henge;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-10 13:41:43.405118-04:00;377.24;95.45;153.0;92.21;1.0;64.29;93.83;PRODUCTIVE_PERSISTANCE;0.0;0.0;1.0;63.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-11 13:11:53.245761-04:00;161.58;46.46;76.0;45.67;2.0;46.46;46.06;NO_BEHAVIOR;1.0;1.0;2.0;33.0;NA;77.99
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Boxes Obscure Spheres;0.266198;Intermediate;1.0;0.0;2019-09-11 13:18:56.742650-04:00;267.9;50.49;84.0;38.83;3.0;47.57;44.66;NO_BEHAVIOR;5.0;2.0;0.0;18.0;210.52;63.1
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Object Limits;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Object Limits;0.257177;Intermediate;1.0;0.0;2019-09-11 13:24:24.230852-04:00;238.82;65.66;66.0;50.51;6.0;76.77;58.08;NO_BEHAVIOR;7.0;1.0;3.0;20.0;284.68;101.38
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Tetromino;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Tetromino;0.226869;Advanced;1.0;1.0;2019-09-11 13:24:29.354442-04:00;40.19;30.0;16.0;40.0;1.0;100.0;35.0;NO_BEHAVIOR;1.0;0.0;0.0;4.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Angled Silhouette;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Angled Silhouette;0.147673;Intermediate;2.0;0.0;2019-09-11 13:28:01.460295-04:00;177.5;78.79;47.0;61.62;2.0;84.85;70.2;NO_BEHAVIOR;3.0;0.0;0.0;13.0;76.84;52.11
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Sugar Cones;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Sugar Cones;0.085909;Advanced;1.0;1.0;2019-09-11 13:28:25.541501-04:00;97.89;81.25;26.0;55.36;2.0;89.29;68.3;NO_BEHAVIOR;2.0;1.0;0.0;7.0;NA;37.31
cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015~Stranger Shapes;cb71040b5bd1341a34afc24961536ebd;b25afda10342aa07780ccf349f6f3015;Stranger Shapes;0.283971;Advanced;1.0;0.0;2019-09-11 13:29:46.143837-04:00;176.38;33.73;38.0;4.82;2.0;18.07;19.28;NO_BEHAVIOR;2.0;0.0;1.0;16.0;0;0
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~1. One Box;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:31:00.549106-04:00;124.46;91.08;29.0;78.07;1.0;100.0;84.57;PRODUCTIVE_PERSISTANCE;3.0;0.0;0.0;3.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:32:52.919357-04:00;129.29;77.69;27.0;51.0;2.0;61.35;64.34;NO_BEHAVIOR;2.0;0.0;10.0;5.0;NA;53.96
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:35:49.315480-04:00;186.52;87.04;40.0;71.26;1.0;43.72;79.15;PRODUCTIVE_PERSISTANCE;3.0;0.0;7.0;15.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:39:04.530475-04:00;94.17;62.5;30.0;57.92;2.0;78.75;60.21;NO_BEHAVIOR;0.0;0.0;10.0;7.0;NA;40.63
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-09-09 13:41:37.094603-04:00;306.54;79.73;99.0;74.32;1.0;50.9;77.03;PRODUCTIVE_PERSISTANCE;3.0;0.0;3.0;11.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:47:57.324938-04:00;419.13;94.95;134.0;90.37;4.0;86.24;92.66;PRODUCTIVE_PERSISTANCE;2.0;0.0;27.0;65.0;NA;258.95
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-09-09 13:56:19.279226-04:00;53.81;49.52;16.0;31.25;1.0;61.54;40.38;NO_BEHAVIOR;2.0;0.0;1.0;7.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:58:05.926199-04:00;420.33;95.29;133.0;89.01;4.0;97.91;92.15;PRODUCTIVE_PERSISTANCE;1.0;0.0;36.0;39.0;NA;220.26
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-09 14:08:42.250584-04:00;396.85;90.34;163.0;89.2;2.0;68.18;89.77;PRODUCTIVE_PERSISTANCE;2.0;0.0;11.0;71.0;NA;196.83
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-10 13:36:39.102437-04:00;411.59;83.44;125.0;72.85;2.0;54.97;78.15;PRODUCTIVE_PERSISTANCE;3.0;0.0;46.0;33.0;NA;203.44
cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b~Bird Fez;cb71040b5bd1341a34afc24961536ebd;ac5b8161e38c3ac6753b0654de52823b;Bird Fez;0.156674;Intermediate;2.0;1.0;2019-09-10 13:48:26.552358-04:00;127.2;39.61;52.0;35.06;1.0;40.26;37.34;NO_BEHAVIOR;2.0;0.0;6.0;20.0;NA;NA
